CNPJ,Razão Social,Categoria,Porte,CNAE,Origem da Cobertura,TEM_SESI,TEM_SENAI,TEM_SESI_SENAI,STATUS_RELACIONAMENTO,QTD_REGISTROS_BASE
24239931000105,Ibratin Nordeste Ltda,Industria | Indústria,3.Pequena,"Fabricação de tintas, vernizes, esmaltes e lacas",Migração | Proposta,True,True,True,SESI + SENAI,2
24307233000108,Panificadora E Lanchonete Rio Branco Ltda,Industria | Indústria,3.Pequena,FABRICAÇÃO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE PRODUÇÃO PRÓPRIA,Migração | Proposta,True,True,True,SESI + SENAI,2
24328700000178,Lares Construcoes Ltda,Industria | Indústria,2.Média,Construção de edifícios,Migração | Proposta,True,True,True,SESI + SENAI,2
24870569000176,Agronegocio Vasconcelos Ltda,Industria | Indústria,3.Pequena,Preparação do leite,Migração | Proposta,True,True,True,SESI + SENAI,2
26260065000160,Cacau Matriz & Ecoturismo Ltda,Industria | Indústria,4.Micro,Fabricação de produtos derivados do cacau e de chocolates,Migração | Proposta,True,True,True,SESI + SENAI,2
26688379000168,Podium Comunicacao Visual Ltda,Industria | Indústria,3.Pequena,Impressão de material para uso publicitário,Migração | Proposta,True,True,True,SESI + SENAI,2
26773483000150,Newplast Industria E Comercio De Embalagens Ltda,Industria | Indústria,2.Média,Fabricação de laminados planos e tubulares de material plástico,Migração | Proposta,True,True,True,SESI + SENAI,2
26969453000114,Alepack Industria E Comercio Plasticos Ltda,Industria | Indústria,3.Pequena,Fabricação de artefatos de material plástico para uso pessoal e doméstico,Migração | Proposta,True,True,True,SESI + SENAI,2
27230297000138,Maria Lecia Dos Santos,Industria | Indústria,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Migração | Proposta,True,True,True,SESI + SENAI,2
28094708000178,D H S De Albuquerque Pontes,Industria | Indústria,4.Micro,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Migração | Proposta,True,True,True,SESI + SENAI,2
28620879000193,Impacto Bioenergia Alagoas S.a,Industria | Indústria,2.Média,Geração de energia elétrica,Migração | Proposta,True,True,True,SESI + SENAI,2
29130610000191,Isobloco Industria De Concreto Ltda,Industria | Indústria,4.Micro,Preparação de massa de concreto e argamassa para construção,Migração,True,True,True,SESI + SENAI,2
29826376000131,T. C. Barbosa Da Silva Hidraulica,Industria | Indústria,4.Micro,"Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas",Migração | Proposta,True,True,True,SESI + SENAI,2
29880800000126,Cicero Fonseca Costa,Industria | Indústria,4.Micro,Fabricação de laticínios,Migração | Proposta,True,True,True,SESI + SENAI,2
30483453000187,Alquimia Industria E Comercio De Capachos Ltda,Industria | Indústria,2.Média,Fabricação de artefatos de material plástico para uso pessoal e doméstico,Migração | Proposta,True,True,True,SESI + SENAI,2
31750099000172,Engenho Chp Limitada,Industria | Indústria,4.Micro,Fabricação de aguardente de cana-de-açúcar,Migração | Proposta,True,True,True,SESI + SENAI,2
33240746000121,Bc Plast Industria E Comercio Ltda,Industria | Indústria,4.Micro,Fabricação de embalagens de material plástico,Migração | Proposta,True,True,True,SESI + SENAI,2
34607256000183,Dlicias Da Terra Ltda,Nao Industria | Não Indústria,3.Pequena,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,Migração | Proposta,True,True,True,SESI + SENAI,2
35398478000287,Plastmar Industria E Comercio De Plasticos Ltda,Industria | Indústria,2.Média,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,Migração | Proposta,True,True,True,SESI + SENAI,2
35518797000106,Construtora Urbanisme Ltda,Industria | Indústria,3.Pequena,Incorporação de empreendimentos imobiliários,Migração | Proposta,True,True,True,SESI + SENAI,2
35728880000100,Tecfibra Empreiteira E Revestimentos Anticorrosivos Ltda,Industria | Indústria,2.Média,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente,Proposta,True,True,True,SESI + SENAI,2
36359686000159,"Le Mix Brasil Preparacao De Massa, Argamassa E Concreto Ltda",Industria | Indústria,2.Média,Preparação de massa de concreto e argamassa para construção,Proposta,True,True,True,SESI + SENAI,2
36359686000230,"Le Mix Brasil Preparacao De Massa, Argamassa E Concreto Ltda",Industria | Indústria,3.Pequena,Preparação de massa de concreto e argamassa para construção,Proposta,True,True,True,SESI + SENAI,2
37607277000197,Bx Comercio E Servicos De Bolsas Ltda,Industria | Indústria,4.Micro,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",Migração | Proposta,True,True,True,SESI + SENAI,2
38333461000159,Iabs Empresa Social Comercio Ltda,Industria | Indústria,4.Micro,Recuperação de materiais não especificados anteriormente,Migração | Proposta,True,True,True,SESI + SENAI,2
38449329000107,Rdv Roasters Torrefacao E Escola De Cafes Especiais Ltda,Industria | Indústria,4.Micro,Torrefação e moagem de café,Migração | Proposta,True,True,True,SESI + SENAI,2
39580673000101,Brk Ambiental - Regiao Metropolitana De Maceio S.a.,Industria | Indústria,1.Grande,"Captação, tratamento e distribuição de água",Proposta,True,True,True,SESI + SENAI,2
39965463000123,Coco De Alagoas Ltda,Industria | Indústria,3.Pequena,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",Migração | Proposta,True,True,True,SESI + SENAI,2
40730122000158,Tecnobloco Artefatos De Concreto Ltda,Industria | Indústria,4.Micro,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",Migração,True,True,True,SESI + SENAI,2
40917346000173,Merconplas Industrial De Plasticos Comercio Ltda,Industria | Indústria,2.Média,Fabricação de artefatos de material plástico para uso pessoal e doméstico,Proposta,True,True,True,SESI + SENAI,2
41053365000161,R C Dias Industria Grafica E Editora Ltda,Industria | Indústria,4.Micro,Impressão de material para outros usos,Migração | Proposta,True,True,True,SESI + SENAI,2
41160680000198,F . P . Construtora Ltda,Industria | Indústria,1.Grande,Obras de terraplenagem,Proposta,True,True,True,SESI + SENAI,2
41167347000100,Cony Engenharia Ltda,Industria | Indústria,2.Média,Construção de edifícios,Migração | Proposta,True,True,True,SESI + SENAI,2
41183088000101,Pedrosa De Melo & Cia Ltda,Industria | Indústria,3.Pequena,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",Migração | Proposta,True,True,True,SESI + SENAI,2
41186560000160,Leonardo Pereira Lucena,Industria | Indústria,4.Micro,Fabricação de móveis com predominância de madeira,Migração | Proposta,True,True,True,SESI + SENAI,2
41483782000144,Panificacao Alvorada Iii Ltda,Industria | Indústria,3.Pequena,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Migração,True,True,True,SESI + SENAI,2
41864070000175,Ne Comercio Atacadista Ltda,Nao Industria | Não Indústria,3.Pequena,Comércio atacadista de produtos alimentícios em geral,Migração | Proposta,True,True,True,SESI + SENAI,2
43103238000155,Industria De Bebidas Piacava Guassu Ltda.,Industria | Indústria,4.Micro,Fabricação de aguardente de cana-de-açúcar,Proposta,True,True,True,SESI + SENAI,2
43232996000173,Taverna Beer Cervejaria Artesanal Ltda,Industria | Indústria,4.Micro,Fabricação de cervejas e chopes,Migração,True,True,True,SESI + SENAI,2
43249460000160,Warlem Teofilo Alves Ltda,Industria | Indústria,4.Micro,Recuperação de sucatas de alumínio,Migração | Proposta,True,True,True,SESI + SENAI,2
43337470000158,Nuance Tintas Ltda,Industria | Indústria,4.Micro,"Fabricação de tintas, vernizes, esmaltes e lacas",Migração,True,True,True,SESI + SENAI,2
44803999000182,Jose W T D Santos,Industria | Indústria,4.Micro,Construção de edifícios,Proposta,True,True,True,SESI + SENAI,2
44992350000157,Verde Ambiental Alagoas S.a.,Industria | Indústria,2.Média,"Captação, tratamento e distribuição de água",Migração | Proposta,True,True,True,SESI + SENAI,2
45456117000112,Aguas Do Sertao S/a,Industria | Indústria,4.Micro,"Captação, tratamento e distribuição de água",Migração | Proposta,True,True,True,SESI + SENAI,2
46423021000110,Spot Ponta Verde Spe Ltda,Industria | Indústria,3.Pequena,Incorporação de empreendimentos imobiliários,Migração | Proposta,True,True,True,SESI + SENAI,2
46816463000127,Conect Servicos Industriais Ltda,Industria | Indústria,4.Micro,"Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente",Proposta,True,True,True,SESI + SENAI,2
47025733000144,W Dos S Gouveia  Ltda,Industria | Indústria,4.Micro,Impressão de material para outros usos,Migração | Proposta,True,True,True,SESI + SENAI,2
47069074000148,Metalurgica Louise E Cia Ltda,Industria | Indústria,3.Pequena,"Fabricação de produtos de trefilados de metal, exceto padronizados",Migração | Proposta,True,True,True,SESI + SENAI,2
47660138000180,Morino Moveis Planejados Ltda,Industria | Indústria,4.Micro,Fabricação de móveis com predominância de madeira,Proposta,True,True,True,SESI + SENAI,2
47767426000139,Nova Costa Dourada Envase De Agua Ltda,Industria | Indústria,4.Micro,Fabricação de águas envasadas,Proposta,True,True,True,SESI + SENAI,2
48821494000100,Frango Lider Ltda,Industria | Indústria,4.Micro,Abate de aves,Migração | Proposta,True,True,True,SESI + SENAI,2
49120631000133,Associacao Dos Proprietarios De Unidades Autonomas Do Futuro Edificio Botanic View Club Residence,Nao Industria | Não Indústria,2.Média,Atividades associativas não especificadas anteriormente,Proposta,True,True,True,SESI + SENAI,2
50362100000136,So Uniforme E Pijamas Ltda,Industria | Indústria,4.Micro,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",Proposta,True,True,True,SESI + SENAI,2
51254937000124,Nordrives Eletronica Industrial Ltda,Industria | Indústria,4.Micro,Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente,Migração | Proposta,True,True,True,SESI + SENAI,2
52571738000102,P R V L Firmino Confeccoes,Industria | Indústria,4.Micro,"Confecção de roupas profissionais, exceto sob medida",Proposta,True,True,True,SESI + SENAI,2
52763806000135,Spot Ponta Verde Ii Spe Ltda,Industria | Indústria,3.Pequena,Incorporação de empreendimentos imobiliários,Migração | Proposta,True,True,True,SESI + SENAI,2
53156447000110,A Leonel Da Silva,Industria | Indústria,4.Micro,Outras obras de acabamento da construção,Proposta,True,True,True,SESI + SENAI,2
54360370000169,Consorcio Cmeis.,Industria | Indústria,2.Média,Construção de edifícios,Migração | Proposta,True,True,True,SESI + SENAI,2
54409926000164,Consorcio Pmcmv Marechal,Industria | Indústria,2.Média,Construção de edifícios,Migração,True,True,True,SESI + SENAI,2
54502107000167,Projett Edificacoes Ltda,Industria | Indústria,3.Pequena,Fabricação de artefatos de cimento para uso na construção,Migração | Proposta,True,True,True,SESI + SENAI,2
54841751000160,Reserva Wara Spe Ltda,Industria | Indústria,3.Pequena,Incorporação de empreendimentos imobiliários,Migração | Proposta,True,True,True,SESI + SENAI,2
56263534000165,Condominio Reserva Do Bosque Empreendimento Imobiliario Spe Ltda,Industria | Indústria,2.Média,Incorporação de empreendimentos imobiliários,Migração,True,True,True,SESI + SENAI,2
56635815000100,Kasa E Construcao Ltda,Industria | Indústria,4.Micro,Construção de edifícios,Proposta,True,True,True,SESI + SENAI,2
56706119000139,Alpexgas Servicos Ltda,Industria | Indústria,4.Micro,"Instalações hidráulicas, sanitárias e de gás",Proposta,True,True,True,SESI + SENAI,2
57706135000194,Condominio Reserva Aldeprime Empreendimento Imobiliario Spe Ltda,Industria | Indústria,3.Pequena,Incorporação de empreendimentos imobiliários,Migração | Proposta,True,True,True,SESI + SENAI,2
58377116000124,Qaab Empreendimento Spe Ltda,Industria | Indústria,3.Pequena,Incorporação de empreendimentos imobiliários,Migração | Proposta,True,True,True,SESI + SENAI,2
58528303000161,Reserva Aruma Spe Ltda,Industria | Indústria,3.Pequena,Incorporação de empreendimentos imobiliários,Migração | Proposta,True,True,True,SESI + SENAI,2
59533948000155,Nordestina Comercio De Alimentos Ltda,Industria | Indústria,4.Micro,Fabricação de outros produtos alimentícios não especificados anteriormente,Migração | Proposta,True,True,True,SESI + SENAI,2
61319829000146,Cleisson Nogueira Dos Santos Ltda,Industria | Indústria,4.Micro,Fabricação de alimentos para animais,Migração | Proposta,True,True,True,SESI + SENAI,2
61471733000107,Grano Restaurante Ltda.,Nao Industria | Não Indústria,3.Pequena,Restaurantes e similares,Migração | Proposta,True,True,True,SESI + SENAI,2
62258884014196,Intercement Brasil S.a.,Industria | Indústria,2.Média,Fabricação de cimento,Proposta,True,True,True,SESI + SENAI,2
63184997000105,Arapack Industria E Comercio De Embalagens Plasticas Ltda,Industria | Indústria,4.Micro,Fabricação de embalagens de material plástico,Migração | Proposta,True,True,True,SESI + SENAI,2
63647593000100,Consorcio Nova Sede Ale/al,Industria | Indústria,2.Média,Construção de edifícios,Migração | Proposta,True,True,True,SESI + SENAI,2
69983856000120,Norvinco Industria De Embalagem Nordeste Ltda,Industria | Indústria,3.Pequena,Fabricação de chapas e de embalagens de papelão ondulado,Migração | Proposta,True,True,True,SESI + SENAI,2
70940994008358,Pandurata Alimentos Ltda,Industria | Indústria,2.Média,Fabricação de biscoitos e bolachas,Proposta,True,True,True,SESI + SENAI,2
70940994009249,Pandurata Alimentos Ltda,Nao Industria | Não Indústria,3.Pequena,"Comércio atacadista de pães, bolos, biscoitos e similares",Proposta,True,True,True,SESI + SENAI,2
83475913004006,Pbg S/a,Industria | Indústria,1.Grande,Fabricação de azulejos e pisos,Migração | Proposta,True,True,True,SESI + SENAI,2
