cnpj,situacao_atual,razao_social,SETOR,CNAE PRIMARIO,Porte,Municipio,SESI,SENAI,CNPJ_NORMALIZADO,CNAE_DIVISAO,EH_INDUSTRIA,CNPJ_BASICO,TEM_SESI,TEM_SENAI,TEM_SESI_SENAI,STATUS_RELACIONAMENTO,SEBRAE_cnpj,SEBRAE_situacao_atual,SEBRAE_razao_social,SEBRAE_SETOR,SEBRAE_CNAE PRIMARIO,SEBRAE_Porte,SEBRAE_Municipio,SEBRAE_SESI,SEBRAE_SENAI,SEBRAE_cnae_codigo_recuperado,SEBRAE_cnae_norm,SEBRAE_cnae_divisao,SEBRAE_secao,SEBRAE_setor,SEBRAE_subsetor,SEBRAE_e_industria,SEBRAE_auditoria,SEBRAE_elegivel_sebrae,SEBRAE_oportunidade_comercial,ENCONTRADO_SEBRAE,SEBRAE_ELEGIVEL,SEBRAE_OPORTUNIDADE_ORIGINAL,STATUS_SEBRAE,SEBRAE_OPORTUNIDADE,OPORTUNIDADE_SEBRAE,OPORTUNIDADE_SESI,OPORTUNIDADE_SENAI,OPORTUNIDADE_GERAL,OPORTUNIDADE_CROSS_SELL
62948040000117,ATIVA,E DOS SANTOS SILVA COMERCIO,INDÚSTRIA,Frigorifico - abate de bovinos,MICRO EMPRESA,São Luís do Quitunde,,,62948040000117,10,True,62948040,False,False,False,SEM RELACIONAMENTO,62948040000117.0,ATIVA,E DOS SANTOS SILVA COMERCIO,INDÚSTRIA,Frigorifico - abate de bovinos,MICRO EMPRESA,São Luís do Quitunde,,,1011-2/01,1011201.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
35911717000170,ATIVA,ESD CONSTRUTORA LTDA,INDÚSTRIA,Construcao de edificios,MICRO EMPRESA,Pão de Açúcar,,,35911717000170,0,True,35911717,False,False,False,SEM RELACIONAMENTO,35911717000170.0,ATIVA,ESD CONSTRUTORA LTDA,INDÚSTRIA,Construcao de edificios,MICRO EMPRESA,Pão de Açúcar,,,4120-4/00,4120400.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
34813645000165,ATIVA,SANHIDRO DO BRASIL TECNOLOGIA EM TRATAMENTO DE AGUA E ESGOTO LTDA,INDÚSTRIA,"Construcao de redes de abastecimento de agua, coleta de esgoto e construcoes correlatas, exceto obras de irrigacao",PEQUENO PORTE,Murici,,,34813645000165,10,True,34813645,False,False,False,SEM RELACIONAMENTO,34813645000165.0,ATIVA,SANHIDRO DO BRASIL TECNOLOGIA EM TRATAMENTO DE AGUA E ESGOTO LTDA,INDÚSTRIA,"Construcao de redes de abastecimento de agua, coleta de esgoto e construcoes correlatas, exceto obras de irrigacao",PEQUENO PORTE,Murici,,,4222-7/01,4222701.0,42.0,F,Construcao,Obras de infraestrutura,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
44567710000173,ATIVA,M A A CAVALCANTE ENGENHARIA,INDÚSTRIA,Construcao de edificios,MICRO EMPRESA,Flexeiras,,,44567710000173,0,True,44567710,False,False,False,SEM RELACIONAMENTO,44567710000173.0,ATIVA,M A A CAVALCANTE ENGENHARIA,INDÚSTRIA,Construcao de edificios,MICRO EMPRESA,Flexeiras,,,4120-4/00,4120400.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
11888337000101,ATIVA,M. J. MELO FERREIRA LTDA,INDÚSTRIA,Servicos de comunicacao multimidia - scm,MICRO EMPRESA,Ouro Branco,,,11888337000101,0,True,11888337,False,False,False,SEM RELACIONAMENTO,11888337000101.0,ATIVA,M. J. MELO FERREIRA LTDA,INDÚSTRIA,Servicos de comunicacao multimidia - scm,MICRO EMPRESA,Ouro Branco,,,6110-8/03,6110803.0,61.0,J,Informacao e comunicacao,Informacao e comunicacao,False,False,NAO,FORA DO ESCOPO SEBRAE,True,NAO,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,SIM,SIM,PROSPECT,NÃO
41156910000226,ATIVA,JOSE HENRIQUE RAMOS,INDÚSTRIA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,MICRO EMPRESA,Chã Preta,,,41156910000226,10,True,41156910,False,False,False,SEM RELACIONAMENTO,41156910000226.0,ATIVA,JOSE HENRIQUE RAMOS,INDÚSTRIA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,MICRO EMPRESA,Chã Preta,,,1091-1/02,1091102.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
43873932000151,ATIVA,A M DE OLIVEIRA MARQUES LUZ,INDÚSTRIA,Construcao de edificios,MICRO EMPRESA,Barra de São Miguel,,,43873932000151,0,True,43873932,False,False,False,SEM RELACIONAMENTO,43873932000151.0,ATIVA,A M DE OLIVEIRA MARQUES LUZ,INDÚSTRIA,Construcao de edificios,MICRO EMPRESA,Barra de São Miguel,,,4120-4/00,4120400.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
43679887000107,ATIVA,OMEGA TELECOM LTDA,INDÚSTRIA,Provedores de acesso as redes de comunicacoes,MICRO EMPRESA,Japaratinga,,,43679887000107,0,True,43679887,False,False,False,SEM RELACIONAMENTO,43679887000107.0,ATIVA,OMEGA TELECOM LTDA,INDÚSTRIA,Provedores de acesso as redes de comunicacoes,MICRO EMPRESA,Japaratinga,,,6190-6/01,6190601.0,61.0,J,Informacao e comunicacao,Informacao e comunicacao,False,False,NAO,FORA DO ESCOPO SEBRAE,True,NAO,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,SIM,SIM,PROSPECT,NÃO
63620552000112,ATIVA,OVO E SABOR LIMITADA,INDÚSTRIA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,MICRO EMPRESA,Porto de Pedras,,,63620552000112,10,True,63620552,False,False,False,SEM RELACIONAMENTO,63620552000112.0,ATIVA,OVO E SABOR LIMITADA,INDÚSTRIA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,MICRO EMPRESA,Porto de Pedras,,,1091-1/02,1091102.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
49493477000145,ATIVA,49.493.477 SARA VIRGINIA VIEIRA E SILVA,INDÚSTRIA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,MICRO EMPRESA,Junqueiro,,,49493477000145,10,True,49493477,False,False,False,SEM RELACIONAMENTO,49493477000145.0,ATIVA,49.493.477 SARA VIRGINIA VIEIRA E SILVA,INDÚSTRIA,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,MICRO EMPRESA,Junqueiro,,,1091-1/02,1091102.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
5097317000101,ATIVA,FAZENDA TIMBAUBA INDUSTRIA E COMERCIO LTDA,INDÚSTRIA,Fabricacao de laticinios,PEQUENO PORTE,Cacimbinhas,5097317000101.0,,05097317000101,10,True,05097317,True,False,False,SOMENTE SESI,5097317000101.0,ATIVA,FAZENDA TIMBAUBA INDUSTRIA E COMERCIO LTDA,INDÚSTRIA,Fabricacao de laticinios,PEQUENO PORTE,Cacimbinhas,5097317000101.0,,1052-0/00,1052000.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO,SIM,CLIENTE,SENAI
18234170000104,ATIVA,H DE FARIAS COSTA COMERCIO E SERVICOS,INDÚSTRIA,"Servicos de instalacao, manutencao e reparacao de acessorios para veiculos automotores",MICRO EMPRESA,Major Isidoro,,,18234170000104,10,True,18234170,False,False,False,SEM RELACIONAMENTO,18234170000104.0,ATIVA,H DE FARIAS COSTA COMERCIO E SERVICOS,INDÚSTRIA,"Servicos de instalacao, manutencao e reparacao de acessorios para veiculos automotores",MICRO EMPRESA,Major Isidoro,,,4520-0/07,4520007.0,45.0,G,Comercio e reparacao de veiculos,Comercio e reparacao de veiculos,False,False,NAO,FORA DO ESCOPO SEBRAE,True,NAO,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,SIM,SIM,PROSPECT,NÃO
58935379000101,ATIVA,BUDA LTDA,INDÚSTRIA,Manutencao e reparacao de equipamentos e produtos nao especificados anteriormente,MICRO EMPRESA,Taquarana,,,58935379000101,10,True,58935379,False,False,False,SEM RELACIONAMENTO,58935379000101.0,ATIVA,BUDA LTDA,INDÚSTRIA,Manutencao e reparacao de equipamentos e produtos nao especificados anteriormente,MICRO EMPRESA,Taquarana,,,3319-8/00,3319800.0,33.0,C,Industria de transformacao,"Manutencao, reparacao e instalacao de maquinas",True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
13150873000122,ATIVA,I A D COMERCIO E PROJETOS LTDA,INDÚSTRIA,Obras de irrigacao,MICRO EMPRESA,Capela,,,13150873000122,0,True,13150873,False,False,False,SEM RELACIONAMENTO,13150873000122.0,ATIVA,I A D COMERCIO E PROJETOS LTDA,INDÚSTRIA,Obras de irrigacao,MICRO EMPRESA,Capela,,,4222-7/02,4222702.0,42.0,F,Construcao,Obras de infraestrutura,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
12018347000493,ATIVA,EASA EMPRESA AGRO PECUARIA LTDA,INDÚSTRIA,Fabricacao de alimentos para animais,PEQUENO PORTE,Major Isidoro,,,12018347000493,10,True,12018347,False,False,False,SEM RELACIONAMENTO,12018347000493.0,ATIVA,EASA EMPRESA AGRO PECUARIA LTDA,INDÚSTRIA,Fabricacao de alimentos para animais,PEQUENO PORTE,Major Isidoro,,,1066-0/00,1066000.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
62352856000183,ATIVA,DA TERRA CONSTRUTORA E INCORPORADORA LTDA,INDÚSTRIA,Construcao de edificios,PEQUENO PORTE,Taquarana,,,62352856000183,0,True,62352856,False,False,False,SEM RELACIONAMENTO,62352856000183.0,ATIVA,DA TERRA CONSTRUTORA E INCORPORADORA LTDA,INDÚSTRIA,Construcao de edificios,PEQUENO PORTE,Taquarana,,,4120-4/00,4120400.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
18207805000176,ATIVA,R E COMERCIO E SERVICOS DE INTERNET LTDA,INDÚSTRIA,Servicos de comunicacao multimidia - scm,MICRO EMPRESA,Maravilha,,,18207805000176,0,True,18207805,False,False,False,SEM RELACIONAMENTO,18207805000176.0,ATIVA,R E COMERCIO E SERVICOS DE INTERNET LTDA,INDÚSTRIA,Servicos de comunicacao multimidia - scm,MICRO EMPRESA,Maravilha,,,6110-8/03,6110803.0,61.0,J,Informacao e comunicacao,Informacao e comunicacao,False,False,NAO,FORA DO ESCOPO SEBRAE,True,NAO,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,SIM,SIM,PROSPECT,NÃO
37339195000109,ATIVA,S.L - LOCACOES E SERVICOS DE TERRAPLENAGEM LTDA,INDÚSTRIA,Obras de terraplenagem,PEQUENO PORTE,Porto de Pedras,,,37339195000109,0,True,37339195,False,False,False,SEM RELACIONAMENTO,37339195000109.0,ATIVA,S.L - LOCACOES E SERVICOS DE TERRAPLENAGEM LTDA,INDÚSTRIA,Obras de terraplenagem,PEQUENO PORTE,Porto de Pedras,,,4313-4/00,4313400.0,43.0,F,Construcao,Servicos especializados para construcao,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
12018347000574,ATIVA,EASA EMPRESA AGRO PECUARIA LTDA,INDÚSTRIA,Preparacao do leite,PEQUENO PORTE,Jaramataia,,,12018347000574,10,True,12018347,False,False,False,SEM RELACIONAMENTO,12018347000574.0,ATIVA,EASA EMPRESA AGRO PECUARIA LTDA,INDÚSTRIA,Preparacao do leite,PEQUENO PORTE,Jaramataia,,,1051-1/00,1051100.0,10.0,C,Industria de transformacao,Alimentos,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
44640627000182,ATIVA,CONSORCIO LIDER LRM,INDÚSTRIA,Servicos especializados para construcao nao especificados anteriormente,DEMAIS,Barra de São Miguel,,,44640627000182,0,True,44640627,False,False,False,SEM RELACIONAMENTO,44640627000182.0,ATIVA,CONSORCIO LIDER LRM,INDÚSTRIA,Servicos especializados para construcao nao especificados anteriormente,DEMAIS,Barra de São Miguel,,,4399-1/99,4399199.0,43.0,F,Construcao,Servicos especializados para construcao,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
52098768000143,ATIVA,ELZA ALVES GUIMARAES,INDÚSTRIA,Outras obras de acabamento da construcao,MICRO EMPRESA,Passo de Camaragibe,,,52098768000143,0,True,52098768,False,False,False,SEM RELACIONAMENTO,52098768000143.0,ATIVA,ELZA ALVES GUIMARAES,INDÚSTRIA,Outras obras de acabamento da construcao,MICRO EMPRESA,Passo de Camaragibe,,,4330-4/99,4330499.0,43.0,F,Construcao,Servicos especializados para construcao,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
48026722000141,ATIVA,ARIELSON FLORIANO DA SILVA,INDÚSTRIA,"Extracao de areia, cascalho ou pedregulho e beneficiamento associado",MICRO EMPRESA,Jequiá da Praia,,,48026722000141,0,True,48026722,False,False,False,SEM RELACIONAMENTO,48026722000141.0,ATIVA,ARIELSON FLORIANO DA SILVA,INDÚSTRIA,"Extracao de areia, cascalho ou pedregulho e beneficiamento associado",MICRO EMPRESA,Jequiá da Praia,,,0810-0/06,810006.0,8.0,B,Industria extrativa,Extracao de minerais nao-metalicos,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
32452840000181,ATIVA,ZEFERINO SANTOS CONSTRUCOES LTDA,INDÚSTRIA,Construcao de edificios,PEQUENO PORTE,Capela,,,32452840000181,0,True,32452840,False,False,False,SEM RELACIONAMENTO,32452840000181.0,ATIVA,ZEFERINO SANTOS CONSTRUCOES LTDA,INDÚSTRIA,Construcao de edificios,PEQUENO PORTE,Capela,,,4120-4/00,4120400.0,41.0,F,Construcao,Construcao de edificios,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
36397111000120,ATIVA,SANTOS E NASCIMENTO LTDA,INDÚSTRIA,Extracao de argila e beneficiamento associado,MICRO EMPRESA,Matriz de Camaragibe,,,36397111000120,0,True,36397111,False,False,False,SEM RELACIONAMENTO,36397111000120.0,ATIVA,SANTOS E NASCIMENTO LTDA,INDÚSTRIA,Extracao de argila e beneficiamento associado,MICRO EMPRESA,Matriz de Camaragibe,,,0810-0/07,810007.0,8.0,B,Industria extrativa,Extracao de minerais nao-metalicos,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
41859692000105,ATIVA,J F CONSTRUCAO LTDA,INDÚSTRIA,"Instalacoes hidraulicas, sanitarias e de gas",MICRO EMPRESA,Barra de São Miguel,,,41859692000105,0,True,41859692,False,False,False,SEM RELACIONAMENTO,41859692000105.0,ATIVA,J F CONSTRUCAO LTDA,INDÚSTRIA,"Instalacoes hidraulicas, sanitarias e de gas",MICRO EMPRESA,Barra de São Miguel,,,4322-3/01,4322301.0,43.0,F,Construcao,Servicos especializados para construcao,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
27423294000110,ATIVA,L OLIVEIRA BARROS,INDÚSTRIA,Servicos de comunicacao multimidia - scm,MICRO EMPRESA,Minador do Negrão,,,27423294000110,0,True,27423294,False,False,False,SEM RELACIONAMENTO,27423294000110.0,ATIVA,L OLIVEIRA BARROS,INDÚSTRIA,Servicos de comunicacao multimidia - scm,MICRO EMPRESA,Minador do Negrão,,,6110-8/03,6110803.0,61.0,J,Informacao e comunicacao,Informacao e comunicacao,False,False,NAO,FORA DO ESCOPO SEBRAE,True,NAO,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,FORA DO ESCOPO SEBRAE,SIM,SIM,PROSPECT,NÃO
44691765000190,ATIVA,I B DA SILVA,INDÚSTRIA,Obras de alvenaria,MICRO EMPRESA,Japaratinga,,,44691765000190,0,True,44691765,False,False,False,SEM RELACIONAMENTO,44691765000190.0,ATIVA,I B DA SILVA,INDÚSTRIA,Obras de alvenaria,MICRO EMPRESA,Japaratinga,,,4399-1/03,4399103.0,43.0,F,Construcao,Servicos especializados para construcao,True,False,SIM,NÃO ATENDIDA,True,SIM,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,NÃO ATENDIDA,SIM,SIM,PROSPECT,NÃO
